Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Non-hyperemic,10,LAD,5.583999396986585317e-01,1.5,0.78,0.24,0.0,0.24,0.9117350346174757,,,,7.516776019343343,,0.7276982346234958,2.171493823712711,2.2067970804597703,3.328179,12.331382736963866,1.1714813600115672,74.824396,769.6030539999999,219.93583576235417,403.9865432939404,3.8420654499667717,4.924258209422906,1.0885457603880122,0.23965144497109298,0.0684537552652487,0.10815649484475623,0.0010235347238137466,0.0,0.001991989850699822,mine
Non-hyperemic,17,LAD,4.528590858545518127e-01,2.3,0.6799999999999999,0.24,0.0,0.24,0.9464369689996041,,,,,,,,2.203966298850575,3.323909,,,,,211.14250822508356,232.72388597745817,0.26420961873077325,4.280223793820011,1.696836115362898,0.23929424546588596,0.04347313045933717,0.11951282117617164,0.001158677886861824,0.0,0.025380927329952393,mine
Non-hyperemic,72,LAD,3.916117361723976398e-01,0.9,0.745,0.24,0.0,0.24,,,,,9.541164439384735,,0.11518651928354272,,2.23293156321839,3.367593,11.49621955840506,1.0921408580484808,75.189997,377.71490500000004,191.26361867820893,49.23816019873041,14.756467290201496,1.987439787240181,4.533511020704935,0.13498658483043288,0.0268677719590123,0.0,0.0006643002293895054,0.0,0.0,mine
Non-hyperemic,75,LAD,4.058147879532344460e-01,2.5,0.9,0.24,0.0,0.24,,,,,8.567901035305418,,0.280620228386275,,2.245895218390804,3.387144,12.68391170185256,1.2049716116759932,72.216948,366.609876,187.14202158933531,107.94053025339525,0.013657155940785187,1.4688808790231824,1.1341957499759623,0.1775753579063419,0.02496498724450577,0.08143090920977078,0.00018815865425066987,0.0,0.031330060944316306,mine
Non-hyperemic,81,LAD,6.182608632229936729e-01,1.66,0.79,0.24,0.0,0.24,,,,,6.3729137270552405,,1.086174182362659,,2.229768620689656,3.362823,,,72.306900,960.441831,195.48367947400348,607.1107877703655,0.9016748341087685,4.054002394996517,3.881930641904961,0.1989555114707983,0.05799765181444805,0.12345571871511046,0.0005443923775566173,0.00014497723240474878,0.00029478373753192975,mine
Non-hyperemic,53,LCX,4.514650552714571941e-01,2.5,0.73,0.24,0.0,0.24,0.942372077513285,,,,9.661427465175128,,0.5908154606440822,2.191071730652158,2.2265909310344822,3.358031,9.570495,0.53594772,198.081678,435.046658,210.6459049919182,134.7038104057972,0.20041920995410792,6.606279085701436,1.2939248514098098,0.1739313284144231,0.020049187622894676,0.05474685873080872,0.0009184366448873634,0.0,0.03919260370650541,mine
Non-hyperemic,54,LCX,6.085618729004409477e-01,1.2,0.875,0.24,0.0,0.24,0.8659012132771221,,,,8.031126882111646,,1.2437496961492192,2.4579176299671905,2.208449275862069,3.33067,10.898573,0.610320088,627.094326,1141.96969,240.49062291768843,601.3965617568539,12.478135233698367,2.0264800195678334,0.12217229321007399,0.1671096338707988,0.03377542251613047,0.1102096158399703,0.0008257975975094919,0.0,0.15227146941525896,mine
Non-hyperemic,62,LAD,1.113770310019458476e-01,2.0,0.43,0.24,0.0,0.24,,,,,8.153385556250777,,0.09589613997565509,,2.2145376781609203,3.339853,13.429491879205235,1.2758017285244974,73.055018,378.477252,199.29402426636653,44.89863098663997,1.120261943106552,1.120261943106552,22.34067916178347,0.05846868691198033,0.03230180712932269,0.0,0.0008025632197295686,0.0012219880225503713,0.0,mine
Non-hyperemic,65,LAD,2.048441957096109878e-01,1.66,0.5800000000000001,0.24,0.0,0.24,,,,,8.679724403565057,,0.10784118191248354,,2.225889873563218,3.356973,12.595212861397744,1.1965452218327857,73.134932,376.431805,191.06615077930138,48.99948549528125,1.7781096360674935,1.7781096360674935,16.31640701972059,0.057470650038258755,0.022474336573140314,0.0,0.00015953022646784053,0.0,0.0,mine
Non-hyperemic,37,LAD,1.221245327087672194e-15,0.1,0.251,0.24,0.0,0.24,0.9930412898502802,,,,7.464748200122109,,0.05230902239032178,0.9870322250879866,2.1566737413793096,3.346245,13.554973043539697,1.2877224391362712,83.699386,411.70346800000004,,,,,,,,,,,,mine
