Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Hyperemic,269,,,,,,,,0.79,4.285714286,5.424954792,1,1.316666667,5.153707052,,1.166568803,,,,,,,,,,,,,,,,,,garcia
Hyperemic,270,,,,,,,,0.79,2.727272727,3.452243958,1,2.633333333,2.934407365,,1.768628795,,,,,,,,,,,,,,,,,,garcia
Hyperemic,271,,,,,,,,0.79,2.4,3.037974684,1,2.194444444,2.612658228,,1.610266303,,,,,,,,,,,,,,,,,,garcia
Hyperemic,272,,,,,,,,0.79,1.727272727,2.186421173,3,4.157894737,1.945914845,,2.165364102,,,,,,,,,,,,,,,,,,garcia
Hyperemic,273,,,,,,,,0.790123457,1.5,1.898437499,3,1.422222222,1.828125,,1.324675903,,,,,,,,,,,,,,,,,,garcia
Hyperemic,274,,,,,,,,0.790322581,1.714285714,2.169096209,3,1.361111111,2.16909621,,1.40199036,,,,,,,,,,,,,,,,,,garcia
Hyperemic,275,,,,,,,,0.790697674,4.285714286,5.42016807,1,2.266666667,5.168067227,,1.701682005,,,,,,,,,,,,,,,,,,garcia
Hyperemic,276,,,,,,,,0.791666667,3.470588235,4.383900927,1,1.288135593,4.064241486,,1.159977982,,,,,,,,,,,,,,,,,,garcia
Hyperemic,277,,,,,,,,0.79245283,1.642857143,2.073129252,3,1.826086957,2.092687075,,1.417559027,,,,,,,,,,,,,,,,,,garcia
Hyperemic,278,,,,,,,,0.798076923,4.426229508,5.546118902,1,3.074074074,5.226150504,,1.860143776,,,,,,,,,,,,,,,,,,garcia
Hyperemic,279,,,,,,,,0.798076923,4.426229508,5.546118902,1,3.074074074,5.226150504,,1.860143776,,,,,,,,,,,,,,,,,,garcia
Hyperemic,280,,,,,,,,0.8,2,2.5,0,2,2.527777778,,1.543319513,,,,,,,,,,,,,,,,,,garcia
Hyperemic,281,,,,,,,,0.801980198,2.294117647,2.860566449,0,2.076923077,2.803921569,,1.519552791,,,,,,,,,,,,,,,,,,garcia
Hyperemic,282,,,,,,,,0.802469136,2.15625,2.68701923,0,0.942028986,2.687019231,,0.927073811,,,,,,,,,,,,,,,,,,garcia
Hyperemic,283,,,,,,,,0.802631579,1.588235294,1.978784956,2,2.259259259,2.135004822,,1.71401574,,,,,,,,,,,,,,,,,,garcia
Hyperemic,284,,,,,,,,0.804123711,2.365591398,2.941825201,0,3.545454545,2.911497105,,1.994560249,,,,,,,,,,,,,,,,,,garcia
Hyperemic,285,,,,,,,,0.804347826,2.875,3.574324325,0,3.217391304,3.846283784,,1.932468843,,,,,,,,,,,,,,,,,,garcia
Hyperemic,286,,,,,,,,0.804347826,2.761904762,3.433719434,0,1.275862069,3.284427284,,1.129068527,,,,,,,,,,,,,,,,,,garcia
Hyperemic,287,,,,,,,,0.804597701,2,2.485714286,0,2.5,2.142857143,,1.736784868,,,,,,,,,,,,,,,,,,garcia
Hyperemic,288,,,,,,,,0.808080808,2.6,3.2175,0,2.051282051,3.2825,,1.497276396,,,,,,,,,,,,,,,,,,garcia
Hyperemic,289,,,,,,,,0.809090909,2.1,2.595505618,0,4.238095238,2.666292135,,2.078432715,,,,,,,,,,,,,,,,,,garcia
Hyperemic,290,,,,,,,,0.80952381,1.4375,1.775735293,2,2.956521739,1.670036765,,1.88131632,,,,,,,,,,,,,,,,,,garcia
Hyperemic,291,,,,,,,,0.81,1.533333333,1.893004115,2,3.52173913,1.817283951,,1.955949938,,,,,,,,,,,,,,,,,,garcia
Hyperemic,292,,,,,,,,0.81,2.5,3.086419753,0,1.35,2.87037037,,1.12310311,,,,,,,,,,,,,,,,,,garcia
Hyperemic,293,,,,,,,,0.81,1.923076923,2.374169041,2,3.24,2.279202279,,1.883525593,,,,,,,,,,,,,,,,,,garcia
Hyperemic,294,,,,,,,,0.811764706,2,2.463768116,0,2.3,2.173913043,,1.650529483,,,,,,,,,,,,,,,,,,garcia
Hyperemic,295,,,,,,,,0.8125,3.066666667,3.774358975,0,1.97826087,3.504761905,,1.397355641,,,,,,,,,,,,,,,,,,garcia
Hyperemic,296,,,,,,,,0.815217391,3,3.680000001,0,1.5625,3.88,,1.268618456,,,,,,,,,,,,,,,,,,garcia
Hyperemic,297,,,,,,,,0.817307692,3.4,4.160000002,0,2.5,4.28,,1.616447776,,,,,,,,,,,,,,,,,,garcia
Hyperemic,298,,,,,,,,0.819672131,1.875,2.2875,2,2.222222222,2.04375,,1.436649663,,,,,,,,,,,,,,,,,,garcia
Hyperemic,299,,,,,,,,0.81981982,2.25,2.744505494,0,1.444444444,2.521978022,,1.103000906,,,,,,,,,,,,,,,,,,garcia
