Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,Rtotal_cor Value,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,v_distal,discord,source,Location_num
Hyperemic,2,0.45285908585455226,1.5,0.6799999999999999,6.758107022988508,10.629883,0.7605385350066943,1.8455259175423024,0.5810781696865688,1.542722081703005,935.1531667474158,874.096785321168,0.22134466166738828,0.24515428099708383,0.24,LAD,3.1602696515638007,4.4129187656598505,4.155305097769943,0.9057089927222807,1900.432391,745.969052,3.4716827247900253,4.541060339350706,2.039584338904216,3.624883947002401e-05,0.0,0.0,41.88579453318272,1.0,mine,0
Hyperemic,16,0.5908588520863007,2.0,0.81,5.723283206896553,7.86791,0.5170823897728608,1.2625121137312798,1.1790951401646894,1.863434030978628,1322.6692529202526,778.6115247761878,0.1870308826773796,0.2170759605778973,0.24,LAD,2.3566389056539916,4.9487671851488155,4.557569455593323,0.8506241329723189,2169.667977,581.733328,0.7341192484426368,1.9566150257036565,9.593919120714672,0.01314617708294446,0.0,0.00305539025755268,40.61337659185862,1.0,mine,0
Hyperemic,29,0.5744822650154264,3.0,0.6699999999999999,5.710921896551725,8.978154,0.5218719525590396,3.1028256551348763,0.6904732311951364,1.6689077417314837,1059.146013741561,555.8838788379963,0.1502243406743964,0.1658706293123789,0.24,LAD,2.2035985830104243,2.417990661706864,2.523841888612287,0.8749396498089799,1830.526006,641.741912,8.407548860308824,0.8687001676422706,3.858521911399193,0.0002386836165743,0.0,0.0,39.22059127972817,,mine,0
Hyperemic,11,0.5583999396986585,1.7,0.78,5.999472436781613,9.301468,0.5897835616470474,1.4967669656608036,1.0410571837286555,1.8151389769207469,1616.8743237681167,685.0532819002452,0.1971204706129845,0.2267963521345861,0.24,LAD,2.772221361214101,4.9418641619258725,4.700404591596809,0.8904057626403128,2346.957536,694.570039,2.3939692676470035,9.381607927292322,1.3443801270665623,0.0,0.0004465721421845,0.0002060665901003,40.076509405559634,1.0,mine,0
Hyperemic,27,0.440793594872562,3.0,0.6699999999999999,6.518807241379308,10.476556,0.6908273680772723,1.7142826332692165,0.7672094333239904,1.6670114518860637,931.16029908631,689.4221650493502,0.1688324233099539,0.1970180567653972,0.24,LAD,3.0788989379527605,4.501449947794586,4.168800201543878,0.906039138655068,1641.570559,807.217486,2.250323695500031,1.1047179436472,1.5669983834350605,0.0,0.0,0.0,41.5390693273732,,mine,0
Hyperemic,18,0.4528590858545518,2.5,0.6799999999999999,6.511574356321841,10.717489,0.6988151738335279,1.710498439765139,0.7372137791636029,1.6215340837889312,941.1320714660075,844.8604606694792,0.21518214395763388,0.23914667485907967,0.24,LAD,3.1905046554474707,4.5951047544650665,4.565591553980072,0.904306037315104,1876.517458,769.259048,0.2491054347801422,4.7169049374054755,2.115032897554295,1.32912411390088e-05,0.0,0.0,44.32141732818487,1.0,mine,0
Hyperemic,87,0.11173319765978929,2.5,0.5800000000000001,7.489532218390805,12.616206,0.9190806492490632,2.0545491064470114,0.1808903058893112,1.014268017635782,228.7479913807293,905.6923312107252,0.3002750059738268,0.2598838731847416,0.24,LAD,3.754014313582431,3.8393958053593527,4.084531990364129,0.8562473952838644,1941.872063,1040.859337,1.5519494801002156,67.94763266245519,1.5519494801002156,0.0,0.0,0.0,44.02522207487703,0.0,mine,0
Hyperemic,45,0.5885181794294424,1.2,0.63,4.1635699885057464,6.954037,0.7568711198149919,2.6759587677888668,0.8595953017639165,1.8415969750612968,800.2244054301929,643.1548609246648,0.1910619021399772,0.2363266009707142,0.43,LAD,2.0744739339292217,2.62604053570938,2.740854921821171,0.6411970885104128,1938.923303,438.439425,14.099995865580713,3.3248249766003624,2.931991490019778,0.0,0.0,0.0,31.135176921251997,1.0,mine,0
Hyperemic,89,0.20484419570961096,1.66,0.5800000000000001,7.46610035632184,12.452738,0.932418819267343,2.299125841820929,0.1666393211210727,1.02352274885987,245.4314955268868,918.1260622813408,0.2380110476533179,0.272839521986389,0.24,LAD,3.70951389838405,3.775228065241803,3.978377336161915,0.9053058054143044,1932.360311,947.215095,4.362939738652074,34.17916654701156,4.362939738652074,0.0,0.0,4.173635748094e-05,39.70169225227384,0.0,mine,0
Hyperemic,42,0.45253744510609184,1.2,0.63,4.533894816091955,7.645781,0.8878546018955159,3.208640971021866,0.4052851878014498,1.5256292917545848,486.585453214505,617.0461792914975,0.1881828203702264,0.2324388506933355,0.43,LAD,2.2757833758876735,2.486147118997529,2.563238813009488,0.6710307695376518,1276.523595,572.029588,3.3964194196624065,1.6346310550879493,0.7368843463735306,0.0005915221433868,0.0001308233750403,5.76665174674952e-05,30.386852633695835,0.0,mine,0
