Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source
Non-hyperemic,77,4.829328158151106054e-01,1.66,0.69,2.247051183908047,3.388888,,,7.471140466169564,0.4805192795006169,,324.3907782245379,161.6608833981458,0.1223571992157613,0.05797533548948655,0.24,0.0,0.24,LAD,,,,0.22965899407657928,566.905208,72.580563,0.4385971868568071,3.7293101388654795,2.5848090517115114,0.0034709110687693354,0.0,0.00032141679478633103,,mine
Non-hyperemic,79,4.944557232826486404e-01,2.5,0.69,2.2413437586206895,3.38028,,,7.15702250279729,0.6542792257226983,,273.3357389142946,191.4719876735292,0.11202890229362678,0.022770163825473082,0.24,0.0,0.24,LAD,,,,0.1836190656158671,529.12075,72.702594,0.07876246470258026,1.8448484940192258,1.6246770516978466,0.014772356596577428,0.0005412571468501135,0.0004968509987861925,,mine
Non-hyperemic,12,5.583999396986588648e-01,2.0,0.78,2.2313540229885054,3.365214,16.444175182009804,0.9002473891939934,6.809877813482549,0.7545737975124522,2.0622439053839186,539.827613101586,200.69788349164918,0.13623720602752468,0.0442518739037604,0.24,0.0,0.24,LAD,,,,0.23353897126368992,688.576489,72.906778,0.5423775976336767,2.682331630122515,4.221895807132415,0.001874553084632572,0.0,0.0010895777312652857,,mine
Non-hyperemic,15,5.908588520863007343e-01,1.7,0.81,2.2007102758620682,3.318999,16.009564130614084,0.8788557494826271,6.858534730980205,0.9454020755068132,2.171791323049066,572.6853923076028,214.88477384609936,0.1257443932576113,0.054289713139348245,0.24,0.0,0.24,LAD,,,,0.23249633480775517,884.939476,73.594507,1.7171297346827847,4.629122747316066,3.280733021097323,0.0002994330879892305,0.0,0.0005659536321983718,,mine
Non-hyperemic,78,4.829328158151106054e-01,2.0,0.69,2.229771816091953,3.362828,14.778912125676614,,7.340950665806484,0.5347555054853526,,315.62868951324384,183.13582576385647,0.12785923132793975,0.04539702280641859,0.24,0.0,0.24,LAD,,,,0.22243938614210274,542.181737,71.801090,0.5601945470663319,1.9999489342663397,2.256168036139379,0.007327893056800398,0.0,0.00039144938475073316,,mine
Non-hyperemic,49,3.007901338947706060e-01,3.0,0.9,2.2357952758620696,3.371912,11.280177851117182,0.9731681898802419,9.973817985986823,0.27499418204571535,1.7875618384366616,43.87251004231281,186.67198957084653,0.0,0.022234512324554385,0.24,0.0,0.24,LCX,,,,0.09397668469142423,372.074982,75.109263,1.0738346695627479,7.396480675794476,3.2354958886979888,0.0,0.0,0.0010777165826374945,,mine
Non-hyperemic,76,4.980058769521806816e-01,0.9,0.69,2.2483682183908043,3.390874,13.42973512149653,,8.132169964523014,0.29003144955059745,,104.85722724698682,199.867632558675,0.02038042808088674,0.09096958024114572,0.24,0.0,0.24,LAD,,,,0.16249425952902904,665.184074,72.488290,1.0412710490021568,0.3619741358884784,0.9072509689451941,0.014466866224280409,0.0033884317307347526,0.006276169708159676,,mine
Non-hyperemic,82,6.182608632229936729e-01,2.0,0.79,2.239165701149425,3.376995,,,6.20732936224405,1.1907413270302238,,664.7859390593799,192.93982863263747,0.12670337148611954,0.023873220945818067,0.24,0.0,0.24,LAD,,,,0.1916373248652848,925.797219,72.869805,0.7015807615532946,3.369008542385262,0.8931695498947707,0.001734462200287446,0.0,0.00013919531898147405,,mine
Non-hyperemic,71,3.090435692874633489e-01,2.5,0.9,2.2371156666666674,3.373904,13.24723795022439,,8.208855607562766,0.20468585740826145,,79.99429624851169,175.06574911946728,0.03322585214773109,0.02271077146136564,0.24,0.0,0.24,LAD,,,,0.1494278423061315,355.29285100000004,71.583933,0.31094784179909224,6.536665709621767,0.31094784179909224,0.0,0.0001557565801737157,0.00021249789388315578,,mine
Non-hyperemic,25,5.583999396986588648e-01,2.5,0.78,2.229073816091954,3.361775,16.632374913729766,0.880079226245919,6.660137479727859,0.9075192506070395,2.1374558600676288,401.136847704374,187.97213165721092,0.12122973468170985,0.04452184001607584,0.24,0.0,0.24,LAD,,,,0.23154557186121102,660.457401,73.512420,0.3293240105197926,1.4859416519086108,3.0292420692749276,0.00839696803131221,0.0,0.00031499199758615293,,mine
Non-hyperemic,22,4.813122844963170222e-01,2.5,0.71,2.2300898965517244,3.363308,15.0919922461835,0.9297892177750497,7.503014288884842,0.5665719629747614,1.9750627859031178,253.7670243747511,181.29647071920988,0.11847371133003028,0.044966889003711555,0.24,0.0,0.24,LAD,,,,0.2336671911572692,479.266001,72.287610,0.10596013327672447,1.5390425980776377,2.195178172961216,0.0230863995221608,0.0,0.0021963718946901196,,mine
Non-hyperemic,14,5.908588520863007343e-01,1.5,0.81,2.2169028850574715,3.34342,16.42866791292667,0.886219332522125,6.705394173903837,0.8608977448480419,2.1199034990564156,526.3289993863617,241.06127648974456,0.12227827907018002,0.07340976268843519,0.24,0.0,0.24,LAD,,,,0.23219403980162437,936.706734,73.661517,2.3915107059106546,0.962662722816192,0.9899711539731451,0.0004130237029104192,0.0,0.001080331174031596,,mine
