GeometryNumber,ColumnName,ImputedValue,NeighborGeometryNumbers
6,WSS_TE_Area,0.22292284610219118,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
6,WSS_LE_Area,0.253593812255576,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
6,WSS_Area_Bifur,0.8783703210636814,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
6,WSS_TE_min,15.199175727207859,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
6,WSS_LE_min,6.970544643572215,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
6,WSS_TE_Area_min,0.00045989472072439686,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
6,WSS_LE_Area_min,3.9298348512236e-05,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
6,WSS_Area_Bifur_min,1.81338599288264e-05,"[np.float64(90.0), np.float64(99.0), np.float64(16.0), np.float64(7.0), np.float64(9.0)]"
8,WSS_TE,590.1437967231309,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
8,WSS_LE,906.8356085552899,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
8,WSS_TE_Area,0.24905413349352154,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
8,WSS_LE_Area,0.25739889423791834,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
8,WSS_Area_Bifur,0.906793971428035,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
8,WSS_TE_min,32.01466029503141,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
8,WSS_LE_min,3.4584115356914182,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
8,WSS_TE_Area_min,0.0004915767261911224,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
