Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,388,,,,,,,0.804123711,3.545454545,,1.994560249,,,,,,,,,2.365591398,2.911497105,2.941825201,,,,,,,,,,0,garcia,0
Hyperemic,387,,,,,,,0.602272727,3.533333333,,2.592537536,,,,,,,,,2.459016393,4.314877822,4.082895145,,,,,,,,,,1,garcia,0
Hyperemic,386,,,,,,,0.81,3.52173913,,1.955949938,,,,,,,,,1.533333333,1.817283951,1.893004115,,,,,,,,,,1,garcia,0
Hyperemic,385,,,,,,,0.909090909,3.448275862,,1.475856014,,,,,,,,,3.222222222,3.415555556,3.544444445,,,,,,,,,,0,garcia,0
Hyperemic,384,,,,,,,0.272,3.434343434,,3.368423013,,,,,,,,,1.302631579,1.494195046,4.789086688,,,,,,,,,,0,garcia,0
Hyperemic,383,,,,,,,0.72,3.428571429,,2.203371451,,,,,,,,,1.05,1.166666667,1.458333333,,,,,,,,,,0,garcia,0
Hyperemic,382,,,,,,,0.824175824,3.409090909,,1.919926631,,,,,,,,,2.558139535,3.240310078,3.10387597,,,,,,,,,,0,garcia,0
Hyperemic,380,,,,,,,0.838095238,3.384615385,,1.801154235,,,,,,,,,2.888888889,3.446969697,3.446969697,,,,,,,,,,0,garcia,0
Hyperemic,381,,,,,,,0.88,3.384615385,,1.64988656,,,,,,,,,1.733333333,1.871212121,1.969696969,,,,,,,,,,1,garcia,0
Hyperemic,379,,,,,,,0.947916667,3.37037037,,1.236894486,,,,,,,,,1.421052632,1.514748409,1.499132446,,,,,,,,,,1,garcia,0
Hyperemic,378,,,,,,,0.892086331,3.351351351,,1.44033982,,,,,,,,,1.681818182,1.763196481,1.88526393,,,,,,,,,,1,garcia,0
Hyperemic,376,,,,,,,0.43,3.307692308,,2.928640161,,,,,,,,,1.3,1.813953488,3.023255814,,,,,,,,,,0,garcia,0
Hyperemic,377,,,,,,,0.921428571,3.307692308,,1.259915481,,,,,,,,,1.95,2.040697674,2.116279071,,,,,,,,,,1,garcia,0
Hyperemic,375,,,,,,,0.323529412,3.3,,3.2395011,,,,,,,,,1.333333333,1.696969697,4.121212117,,,,,,,,,,0,garcia,0
Hyperemic,374,,,,,,,0.85,3.269230769,,1.746796573,,,,,,,,,1.444444444,1.580392157,1.699346405,,,,,,,,,,1,garcia,0
Hyperemic,372,,,,,,,0.81,3.24,,1.883525593,,,,,,,,,1.923076923,2.279202279,2.374169041,,,,,,,,,,1,garcia,0
Hyperemic,373,,,,,,,0.84375,3.24,,1.780863251,,,,,,,,,1.923076923,2.231718898,2.279202279,,,,,,,,,,1,garcia,0
Hyperemic,371,,,,,,,0.804347826,3.217391304,,1.932468843,,,,,,,,,2.875,3.846283784,3.574324325,,,,,,,,,,0,garcia,0
Hyperemic,111,4.53E-01,1.2,0.63,4.541062805,7.626985,28.360123,0.888936018,3.21018398,0.401081526,1.551078828,440.4952307,562.3598072,0.172200101,0.222234373,0.24,0.19,0.43,LAD,2.270188706,2.484952126,2.553826888,0.607542861,1168.753391,518.472116,2.629587146,1.230036382,0.864396537,0.000103918,0.000297206,0.000131007,0,mine,0
Hyperemic,42,4.53E-01,1.2,0.63,4.533894816,7.645781,30.38685263,0.887854602,3.208640971,0.405285188,1.525629292,486.5854532,617.0461793,0.18818282,0.232438851,0.43,0,0.43,LAD,2.275783376,2.486147119,2.563238813,0.67103077,1276.523595,572.029588,3.39641942,1.634631055,0.736884346,0.000591522,0.000130823,5.77E-05,0,mine,0
Hyperemic,31,4.53E-01,2.5,0.68,4.39696892,7.559204,29.51851328,0.833068698,3.131865822,0.627567017,1.72811991,605.2747147,522.8618905,0.160222875,0.12361164,0.43,0,0.43,LAD,2.250310269,2.509660362,2.70123013,0.688282732,1102.881711,438.844546,0.210472919,1.963705688,1.826057334,0.003498645,0,0,0,mine,0
Hyperemic,370,,,,,,,0.821052632,3.12,,1.835220914,,,,,,,,,3.012048193,3.629904232,3.668520233,,,,,,,,,,0,garcia,0
Hyperemic,369,,,,,,,0.865168539,3.08,,1.683953238,,,,,,,,,1.785714286,1.971243043,2.064007422,,,,,,,,,,1,garcia,0
Hyperemic,367,,,,,,,0.798076923,3.074074074,,1.860143776,,,,,,,,,4.426229508,5.226150504,5.546118902,,,,,,,,,,1,garcia,0
Hyperemic,368,,,,,,,0.798076923,3.074074074,,1.860143776,,,,,,,,,4.426229508,5.226150504,5.546118902,,,,,,,,,,1,garcia,0
Hyperemic,366,,,,,,,0.479166667,3.066666667,,2.747439496,,,,,,,,,1.5,2.184782609,3.13043478,,,,,,,,,,0,garcia,0
Hyperemic,365,,,,,,,0.49,3.0625,,2.69998222,,,,,,,,,1.6,2.12244898,3.265306122,,,,,,,,,,0,garcia,0
Hyperemic,364,,,,,,,0.585106383,3.055555556,,2.481171606,,,,,,,,,2.045454545,2.938016529,3.495867768,,,,,,,,,,1,garcia,0
Hyperemic,363,,,,,,,0.91,3.033333333,,1.40065201,,,,,,,,,3.333333333,3.516483516,3.663003663,,,,,,,,,,0,garcia,0
Hyperemic,39,1.22E-15,0.1,0.251,4.726278621,8.421709,35.99441966,0.980134583,3.003824285,0.060881662,0.628805605,545.2060713,545.2060713,0.110807818,0.127953558,0.43,0,0.43,LAD,2.516764015,0.60844793,2.567773915,0.631962901,1107.928699,559.284393,,2.367019543,12.38220519,0,0,0,0,mine,0
Hyperemic,108,1.22E-15,0.1,0.251,4.734063299,8.236356,33.306986,0.980196559,3.002204445,0.06065516,0.6608867,494.6262292,494.6262292,0.104752781,0.111295593,0.24,0.19,0.43,LAD,2.461372673,0.608776218,2.511101116,0.528952374,996.795059,498.321819,,1.6575513,9.536176425,0,0,0,0,mine,0
Hyperemic,361,,,,,,,0.945652174,3,,1.174826018,,,,,,,,,2.636363636,2.787878788,2.787878787,,,,,,,,,,0,garcia,0
Hyperemic,362,,,,,,,0.979591837,3,,0.691382049,,,,,,,,,2.461538462,2.564102564,2.512820513,,,,,,,,,,0,garcia,0
